symbol,bucket
PFOCUS.NSE,small
RRKABEL.NSE,small
RBLBANK.NSE,small
RHIM.NSE,small
RITES.NSE,small
RAILTEL.NSE,small
RAINBOW.NSE,small
RKFORGE.NSE,small
REDINGTON.NSE,small
RPOWER.NSE,small
SBFC.NSE,small
SAGILITY.NSE,small
SAILIFE.NSE,small
SAMMAANCAP.NSE,small
SAPPHIRE.NSE,small
SARDAEN.NSE,small
SAREGAMA.NSE,small
SCHNEIDER.NSE,small
SCI.NSE,small
SHYAMMETL.NSE,small
SIGNATURE.NSE,small
SOBHA.NSE,small
SONACOMS.NSE,small
SONATSOFTW.NSE,small
STARHEALTH.NSE,small
SUMICHEM.NSE,small
SUNTV.NSE,small
SPLPETRO.NSE,small
SWANCORP.NSE,small
SYNGENE.NSE,small
SYRMA.NSE,small
TBOTEK.NSE,small
TATACHEM.NSE,small
TATATECH.NSE,small
TTML.NSE,small
TECHNOE.NSE,small
TEGA.NSE,small
TEJASNET.NSE,small
TENNIND.NSE,small
RAMCOCEM.NSE,small
TIMKEN.NSE,small
TITAGARH.NSE,small
TARIL.NSE,small
TRAVELFOOD.NSE,small
TRIDENT.NSE,small
TRITURBINE.NSE,small
UCOBANK.NSE,small
UTIAMC.NSE,small
URBANCO.NSE,small
USHAMART.NSE,small
VTL.NSE,small
VIJAYA.NSE,small
WELCORP.NSE,small
WELSPUNLIV.NSE,small
WHIRLPOOL.NSE,small
WOCKPHARMA.NSE,small
ZFCVINDIA.NSE,small
ZEEL.NSE,small
ZENTEC.NSE,small
ZENSARTECH.NSE,small
ZYDUSWELL.NSE,small
ECLERX.NSE,small
